V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22
24;0;20.6274808727081;27.4034754831059;19.4177960296837;10.5253158257349;6.04067092614286;3.78517729208398;2.37656238960677;1.4177686035237;0.929862203238979;0.859299033979747;0.468930003010756;0.482286016940189;0.21330407840196;0.234231492815875;0.245052896831392;0.287755911370812;0.488146512427915;0.180344214544691;0.116444430256016;0.00762999151909842;0
25;7.73524646154782;22.5166000187533;25.9214861211011;12.9585571891492;7.82955019887979;5.79443163768259;3.24482553975542;2.87684065540023;1.96198195378408;1.46510418807903;1.30580968359634;0.914500875035366;1.14617423164788;0.743189645892078;0.537097247154867;0.371058437361282;0.226022674294855;0.0792027933777268;0.0579004752305393;0.0286103484849002;0.0373011953517292;0.121397281734686
26;0.435012593232403;2.60974243458913;7.26419671362509;10.924128518108;12.7648624737942;11.4601233814252;10.7924472707987;9.14484041175407;6.52682323986096;3.97138293999726;2.4249391710405;2.03866797847622;1.30751449470243;1.0615045265102;0.827550507351018;0.84190477636449;0.6491361780948;0.408455516042066;0.533369388289894;0.423696112713508;0.402998058450825;2.4412106106553
28;0.00712548214405713;1.59281176817242;2.33507817872573;2.90425166041606;6.49986691006944;9.84993730825772;9.85595014450124;9.49240049132305;8.1159077810878;7.80735887651159;6.36565848880512;5.01621958936116;3.77253431340222;3.9071425411434;2.73596809443011;1.91798159002668;1.58598803748906;1.00880427056284;0.785372317368537;0.571967111021069;0.435339374162418;2.04897647689372
29;0.82269664970833;7.9895309428934;13.3499824362004;14.8567196082271;15.0303227015659;10.7557709159975;6.90845943122982;5.02189606336944;3.42060764306275;2.82880661051583;2.1991156341021;1.81916026060446;1.47121723449558;0.968690942999883;0.770540120879953;0.674291844266013;0.556474292145337;0.600802053492022;0.339072082672937;0.14311778249663;0.0569257942397376;0.274053928716899
3;8.82546850877196;14.173558163566;18.8123510740641;13.2468830000284;9.02809314449213;5.36611893704851;2.92762198081743;2.00653394532763;1.41818961823516;1.21353433055606;0.942623995200069;0.646299287040243;0.311943697773758;0.175135127167327;0.103975145314856;0.0663836069620158;0.083642638369104;0.0357424915183261;0.060573399116422;0.016068513761026;0;8.82546850877196
30;0.140637045342009;5.20764167495204;13.5265009317966;16.8074127548785;16.4803191481841;12.3763885076081;8.5669678951978;5.72517793673528;4.26130131876311;2.70216662698962;1.97913119894212;1.39809484168744;0.665974187712948;0.399821846964297;0.320270300916672;0.229121205411686;0.214712890469153;0.0873010650584132;0.0151791894205952;0.0216730400096721;0.0118110329807328;0.00913398385927224
31;0;14.5547722609967;27.1114233488377;22.9826242329237;14.1695529263325;6.79504565019605;4.10395884559967;2.14531072424895;1.30853645520992;0.869694668420911;0.495812094178503;0.395969566332934;0.191024699655288;0.156513727737552;0.0886890588080089;0.0461699117435297;0.397800073556989;0.0516883469695401;0.017135877856028;0.0295949448455316;0.00698251660432858;0
32;0.338230390642019;3.15862838995316;9.41391765211781;9.11732269766697;10.9892341594036;13.0803055855262;10.846789608925;8.13918865911922;5.40093192009756;3.26923048876456;2.07263943951154;2.18469428568989;1.39705516033021;1.21842215976512;0.635431748916879;0.333499416921236;0.2402085606216;0.13232620867921;0.0857870181693666;0.0463092226851431;0.00820873830740269;0
33;0;0.710883051688241;1.72946637213557;3.34965740033613;9.44794069732884;12.7038698144545;12.839412132248;12.0565655795041;8.90791030782359;7.78936092693218;5.85018981646796;3.86194523705422;2.64243070101067;1.99065848294242;1.39496947655042;1.30394876777583;1.08828644033656;1.0005727303411;0.555033874733666;0.392244085464913;0.156161171174456;1.16520835470852
