V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22
31;0;1793.00647457409;3339.86384174838;2831.23592134541;1745.5511967588;837.083578317269;505.567840540153;264.281429456609;161.198972703606;107.137929980532;61.0792308593167;48.7796018678913;23.5323862952733;19.2809699912089;10.9256300143409;5.68768436923618;49.0051025659188;6.36750195156067;2.11097359631686;3.64580955106387;0.86017817770547;0
32;31.9452112246758;298.326389020751;889.126453946885;861.113629758851;1037.9120745277;1235.40975729528;1024.4584601313;768.730747167663;510.107653750782;308.772544972958;195.756817008993;206.340182161726;131.949178500957;115.077634451004;60.015309090008;31.4983798369879;22.687237514248;12.497956433761;8.10241921358284;4.37381720051641;0.77529957796019;0
33;0;76.4053192211195;185.88209401166;360.019334187625;1015.45946727422;1365.40493715782;1379.97295089001;1295.83303417446;957.417298170227;837.196226211019;628.775182317053;415.079748983823;284.006997706492;213.954878356205;149.93055173623;140.147696042682;116.968427761021;107.541006476528;59.6547354404484;42.158178467428;16.7841167477443;125.235952790254
34;0;0.143044922539571;72.2521695166077;197.773845962742;540.330311117379;1003.67252021227;1039.38267879186;1063.02121034488;917.022805212168;782.161984767548;561.29493750868;497.018757468644;417.692243024262;303.849388764661;256.088154229019;149.69330092994;109.156965140479;110.019158265269;63.0670390193906;44.0645796908573;34.0311602518272;53.5567059434161
35;0;67.9110094528094;446.593810789782;956.072012298136;1038.81555746546;855.629867824591;720.187095292609;712.697833311677;583.81240872331;553.181300800003;456.791998901257;350.320934359955;254.628645473951;167.337821722993;128.001918692204;105.779523127276;74.457325773241;58.7608233500423;56.2664290344127;38.6171567784822;35.986252510953;70.8201914690788
36;0;116.71320768837;505.266346011521;733.469554105033;918.897716926683;959.676744302548;973.653777257749;823.187025912976;652.833811656297;563.599010128196;548.117799509457;419.312694190122;273.194526759527;172.368193455061;116.923237507239;106.475084808458;64.8964484329576;44.9818040072621;34.1338237332949;11.0596555123845;11.8055843477686;20.8606133079494
37;0;61.4405845313891;522.859464717516;1035.69484934526;1451.96600645009;1430.07077612123;1218.76085275229;1043.6795443622;776.132261107027;591.554195873896;444.07706417594;313.264165324025;187.085408684814;150.034968552998;104.203285653951;125.828358230796;86.1273548661903;35.889406531789;23.0652450958604;9.36334726375714;9.11238215375984;53.3969124620683
38;1.85675937385601;4608.27529073359;1784.61846820158;806.305456601071;400.199583557537;263.278136331907;244.311507355064;131.217305871442;78.01593624679;46.3663348933597;33.170108158516;60.4608237101398;7.85789615544183;7.39962318119907;12.0853373001246;11.4738133096601;1.085728137831;1.62143461352718;3.67250286287968;0.583100970896921;1.10058269481998;0
39;0;188.442060638412;492.625151072193;1020.46298439052;1354.85371513357;1162.4099470448;930.838817106196;826.846205844912;581.814210967078;401.340557927271;296.966305424456;234.377954505928;139.940524690772;93.0777737129944;66.9157557290532;47.0720538617913;52.474884984221;17.3885197441317;11.9490907930299;12.2621806821613;10.7067592219094;34.220318608692
4;0;679.525503082132;2302.95452168893;2704.24453303381;2224.74081569818;1622.05065396714;758.184119761411;486.057857550432;278.037383227087;180.951168882322;104.894088336348;52.2585354953714;29.6896081031625;24.5260887551142;24.0086397634003;15.5339859865577;25.7017449203555;7.91758106110541;11.4310474786758;6.57902855709211;2.20334827503031;0
40;0;417.561536480531;1496.04529671818;1737.92298876167;1687.91670669121;1296.62898195898;983.84486776285;686.288679102008;484.789927603584;420.568350778642;287.000324381561;191.989039884892;189.27279839654;92.5868269609304;66.9552483772912;47.3322009317929;38.5646246818064;33.6145712722588;20.6036016488277;21.4420535958058;13.5719055779039;27.3884919601119
41;0;76.4595036632188;192.023090053888;506.836342632888;788.22679831071;1139.06250888947;1046.25461001587;946.422059092705;822.150528271826;553.065147632367;346.4843146589;194.510082541361;150.525165347317;93.2208850494555;61.9353932565435;54.1883365010476;37.8389307700317;32.882466664124;17.051391898137;5.31856386646548;4.28421533044878;14.0700817335175
42;0;1389.12607773738;1846.10592393424;1760.73640828236;1740.92393107176;1131.95786192164;759.951757853336;642.914021828669;494.697753383452;388.245190985595;262.601725052896;205.112372960076;122.827134383026;59.1709166548905;42.67869105393;29.5524364315663;19.9028623712037;20.1405614199973;12.5670146333879;10.2419722932264;4.08263909437129;0
43;5750.04368673238;1644.34021197833;1851.7427332342;1580.65099929704;1206.38659050817;795.784162918541;529.083298626889;453.363491159724;281.57703695525;176.549966450281;114.690360010876;108.201166486973;59.5102557289718;36.4149982760179;30.8806514732912;104.287529557201;35.8329323807777;8.37869831907951;2.39975619420539;2.10918211437774;1.75713983083954;0
44;0;2747.77058508539;3189.49099688763;1664.78170186076;1043.05105979087;515.293633711297;323.917244806344;231.509969087876;205.655612265782;162.47412936853;172.481411836453;108.734094343784;75.5363578775823;41.7948738137941;26.4279984635479;18.0143449616912;10.6844717386271;9.46897091858268;6.18541107512095;8.14138609618671;1.51005121653551;0
45;0;436.91945609333;1166.88729600275;1470.79711557319;1256.83279036395;1111.99984958026;905.541231327523;566.621665326674;381.22944789346;268.344399417849;199.584290410359;179.553873902158;115.82263531351;58.1882596604259;50.9450381222003;50.5248165525344;35.4538010387238;29.4396319291564;5.3015219162343;4.70714649573931;1.9329105628974;0
47;0;16.1324640908111;163.114754470494;576.361111600147;893.442246004812;1131.47626763277;1082.06860069163;1132.74120109451;771.369846219612;604.304209456312;547.712228650284;434.377213224415;293.992039531063;231.146806895821;171.373114563181;142.788271733758;119.759508892978;79.2579447198729;81.9260331821987;83.3787052659692;75.8676678875152;473.665576056526
48;0;586.994541079236;1108.96553688129;1093.02123058203;1062.25174808067;971.080229790847;799.523455057355;620.298539519495;488.345921183271;358.359711159937;261.060330177885;181.455658531389;128.109320827912;79.2110987807298;85.291159529486;55.2591188261139;64.3448250438342;35.7551348297232;41.7504687691911;31.2994151947939;27.5361347506203;82.9059728413721
49;0;231.007404509227;983.226515012925;1364.30905727541;1476.02866555591;1370.12599210197;1078.43954525985;776.951836877084;614.918897505196;423.050702152589;258.151565673103;180.378789084143;124.921174806771;111.901568762937;111.722082704887;99.5113963552088;80.5743922736493;38.3331703077192;37.7924598037354;12.6603199030395;13.7172411315639;0
